Moneyness,Price % Vanilla Call
0.6,0.008467221
0.602,0.008678299
0.604,0.008893219
0.606,0.009111873
0.608,0.009334348
0.61,0.009560794
0.612,0.009791097
0.614,0.010025309
0.616,0.010263598
0.618,0.010505836
0.62,0.010752112
0.622,0.011002571
0.624,0.011257023
0.626,0.011515664
0.628,0.011778592
0.63,0.012045559
0.632,0.012316884
0.634,0.0125925
0.636,0.012872349
0.638,0.013156658
0.64,0.013445238
0.642,0.013738264
0.644,0.014035777
0.646,0.014337641
0.648,0.014644125
0.65,0.014955051
0.652,0.015270569
0.654,0.015590695
0.656,0.015915376
0.658,0.016244807
0.66,0.016578772
0.662,0.01691754
0.664,0.017260979
0.666,0.017609194
0.668,0.017962212
0.67,0.01831998
0.672,0.01868268
0.674,0.019050115
0.676,0.019422568
0.678,0.019799799
0.68,0.020182074
0.682,0.020569431
0.684,0.020961907
0.686,0.021359332
0.688,0.021761832
0.69,0.022169346
0.692,0.022581964
0.694,0.022999659
0.696,0.023422488
0.698,0.023850445
0.7,0.024283577
0.702,0.024721877
0.704,0.025165395
0.706,0.025614114
0.708,0.026068101
0.71,0.026527312
0.712,0.026991844
0.714,0.027461621
0.716,0.027936786
0.718,0.028417198
0.72,0.028903051
0.722,0.029394166
0.724,0.029890763
0.726,0.030392663
0.728,0.030900052
0.73,0.031412823
0.732,0.031931053
0.734,0.032454757
0.736,0.032983891
0.738,0.03351858
0.74,0.034058672
0.742,0.0346044
0.744,0.035155785
0.746,0.035712754
0.748,0.036275257
0.75,0.036843295
0.752,0.037416966
0.754,0.037996124
0.756,0.038580939
0.758,0.039171311
0.76,0.039767303
0.762,0.040368936
0.764,0.040976129
0.766,0.041589027
0.768,0.042207505
0.77,0.042831653
0.772,0.043461478
0.774,0.044096901
0.776,0.04473805
0.778,0.04538483
0.78,0.046037294
0.782,0.046695488
0.784,0.047359286
0.786,0.048028828
0.788,0.048704057
0.79,0.049384955
0.792,0.050071605
0.794,0.050763906
0.796,0.051462058
0.798,0.052166063
0.8,0.0528757
0.802,0.053591097
0.804,0.054312214
0.806,0.055039001
0.808,0.055771544
0.81,0.056509781
0.812,0.057253712
0.814,0.058003397
0.816,0.05875875
0.818,0.059519823
0.82,0.060286645
0.822,0.061059109
0.824,0.061837299
0.826,0.062621231
0.828,0.06341079
0.83,0.064206079
0.832,0.065007086
0.834,0.065813712
0.836,0.066626065
0.838,0.067444115
0.84,0.068267776
0.842,0.069097148
0.844,0.0699322
0.846,0.070773048
0.848,0.071619606
0.85,0.072471827
0.852,0.073329629
0.854,0.074193099
0.856,0.075062213
0.858,0.075936885
0.86,0.076817206
0.862,0.077703145
0.864,0.078594618
0.866,0.079491717
0.868,0.080394409
0.87,0.081302608
0.872,0.082216405
0.874,0.08313577
0.876,0.084060613
0.878,0.084991021
0.88,0.085926972
0.882,0.086868371
0.884,0.087815297
0.886,0.088767739
0.888,0.0897256
0.89,0.090688944
0.892,0.091657792
0.894,0.092632217
0.896,0.093612088
0.898,0.094597413
0.9,0.095588088
0.902,0.096584173
0.904,0.097585667
0.906,0.098592482
0.908,0.099604663
0.91,0.100622207
0.912,0.101645049
0.914,0.102673199
0.916,0.103706677
0.918,0.104745417
0.92,0.105789416
0.922,0.106838701
0.924,0.107893209
0.926,0.108952924
0.928,0.110017889
0.93,0.111088027
0.932,0.112163329
0.934,0.113243834
0.936,0.114329469
0.938,0.115420217
0.94,0.116516172
0.942,0.117617357
0.944,0.118723607
0.946,0.119834966
0.948,0.120951358
0.95,0.122072768
0.952,0.123199236
0.954,0.124330686
0.956,0.125467106
0.958,0.126608531
0.96,0.127754886
0.962,0.128906167
0.964,0.130062396
0.966,0.131223496
0.968,0.132389481
0.97,0.133560363
0.972,0.134736048
0.974,0.135916574
0.976,0.137101951
0.978,0.138292063
0.98,0.139486973
0.982,0.140686669
0.984,0.141891043
0.986,0.143100177
0.988,0.144314024
0.99,0.145532673
0.992,0.146756046
0.994,0.147984057
0.996,0.149216672
0.998,0.150453934
1,0.151695751
1.002,0.152942145
1.004,0.154193129
1.006,0.155448583
1.008,0.156708583
1.01,0.15797309
1.012,0.15924203
1.014,0.160515465
1.016,0.161793315
1.018,0.163075574
1.02,0.164362272
1.022,0.165653288
1.024,0.166948694
1.026,0.168248448
1.028,0.169552486
1.03,0.170860866
1.032,0.172173492
1.034,0.173490388
1.036,0.174811552
1.038,0.176136883
1.04,0.177466505
1.042,0.178800413
1.044,0.180138485
1.046,0.181480737
1.048,0.182827049
1.05,0.184177508
1.052,0.185532024
1.054,0.186890607
1.056,0.188253264
1.058,0.189619887
1.06,0.190990561
1.062,0.192365186
1.064,0.193743787
1.066,0.195126341
1.068,0.19651279
1.07,0.197903193
1.072,0.199297413
1.074,0.200695546
1.076,0.202097497
1.078,0.20350328
1.08,0.204912885
1.082,0.206326237
1.084,0.207743408
1.086,0.209164258
1.088,0.210588882
1.09,0.212017183
1.092,0.213449181
1.094,0.214884855
1.096,0.216324263
1.098,0.217767399
1.1,0.219214081
1.102,0.220664416
1.104,0.222118251
1.106,0.223575686
1.108,0.225036615
1.11,0.22650108
1.112,0.227969015
1.114,0.22944043
1.116,0.230915304
1.118,0.232393591
1.12,0.233875315
1.122,0.235360399
1.124,0.236848905
1.126,0.238340711
1.128,0.239835911
1.13,0.24133436
1.132,0.242836179
1.134,0.244341201
1.136,0.245849558
1.138,0.247361084
1.14,0.248875899
1.142,0.250393852
1.144,0.251915053
1.146,0.253439356
1.148,0.254966869
1.15,0.256497447
1.152,0.258031197
1.154,0.259567974
1.156,0.261107903
1.158,0.262650964
1.16,0.264197131
1.162,0.265746241
1.164,0.267298428
1.166,0.268853522
1.168,0.270411647
1.17,0.27197265
1.172,0.273536637
1.174,0.275103484
1.176,0.276673266
1.178,0.278245889
1.18,0.279821384
1.182,0.281399708
1.184,0.282980854
1.186,0.284564816
1.188,0.28615153
1.19,0.287741062
1.192,0.289333282
1.194,0.290928303
1.196,0.292525965
1.198,0.29412638
1.2,0.295729441
1.202,0.297335185
1.204,0.298943577
1.206,0.30055458
1.208,0.302168237
1.21,0.303784429
1.212,0.30540327
1.214,0.307024599
1.216,0.30864853
1.218,0.310274961
1.22,0.31190391
1.222,0.313535386
1.224,0.31516928
1.226,0.316805709
1.228,0.318444645
1.23,0.32008607
1.232,0.32172992
1.234,0.323376138
1.236,0.325024796
1.238,0.326675743
1.24,0.328329098
1.242,0.329984776
1.244,0.331642754
1.246,0.333303094
1.248,0.334965641
1.25,0.336630519
1.252,0.338297647
1.254,0.339966993
1.256,0.341638622
1.258,0.343312394
1.26,0.344988401
1.262,0.346666609
1.264,0.348346931
1.266,0.350029461
1.268,0.351714096
1.27,0.353400853
1.272,0.355089774
1.274,0.356780707
1.276,0.358473763
1.278,0.360168907
1.28,0.361866042
1.282,0.363565264
1.284,0.365266497
1.286,0.366969708
1.288,0.368674966
1.29,0.370382167
1.292,0.372091334
1.294,0.373802503
1.296,0.375515545
1.298,0.37723053
1.3,0.378947485
1.302,0.380666255
1.304,0.382386941
1.306,0.384109547
1.308,0.385833929
1.31,0.387560193
1.312,0.389288333
1.314,0.391018347
1.316,0.392750207
1.318,0.394483906
1.32,0.396219304
1.322,0.397956496
1.324,0.399695499
1.326,0.401436162
1.328,0.403178584
1.33,0.404922762
1.332,0.406668594
1.334,0.408416117
1.336,0.410165363
1.338,0.411916251
1.34,0.413668769
1.342,0.415422966
1.344,0.417178817
1.346,0.418936208
1.348,0.420695258
1.35,0.422455941
1.352,0.424218123
1.354,0.425981911
1.356,0.427747292
1.358,0.429514196
1.36,0.431282613
1.362,0.433052591
1.364,0.434824116
1.366,0.436597061
1.368,0.438371531
1.37,0.440147518
1.372,0.441924948
1.374,0.443703812
1.376,0.445484158
1.378,0.447265976
1.38,0.449049144
1.382,0.450833742
1.384,0.452619786
1.386,0.454407245
1.388,0.456196006
1.39,0.457986176
1.392,0.459777742
1.394,0.461570653
1.396,0.463364853
1.398,0.465160419
